时间,测试图片路径,缺陷数量
2026-02-19 10:37:02,temp_test.jpg,12
2026-02-19 10:37:03,temp_test.jpg,9
2026-02-19 10:37:04,temp_test.jpg,2
2026-02-19 10:37:05,temp_test.jpg,11
2026-02-19 10:37:06,temp_test.jpg,13
2026-02-19 10:37:07,temp_test.jpg,7
2026-02-19 10:37:08,temp_test.jpg,10
2026-02-19 10:37:09,temp_test.jpg,4
2026-02-19 10:37:11,temp_test.jpg,7
2026-02-19 10:37:12,temp_test.jpg,8
2026-02-19 10:37:13,temp_test.jpg,1
2026-02-19 10:37:14,temp_test.jpg,8
2026-02-19 10:37:15,temp_test.jpg,15
2026-02-19 10:37:16,temp_test.jpg,8
2026-02-19 10:38:47,temp_test.jpg,2
2026-02-19 10:38:48,temp_test.jpg,4
2026-02-19 10:38:49,temp_test.jpg,5
2026-02-19 10:38:50,temp_test.jpg,15
2026-02-19 10:38:51,temp_test.jpg,11
2026-02-19 10:38:52,temp_test.jpg,13
2026-02-19 10:38:53,temp_test.jpg,11
2026-02-19 10:38:54,temp_test.jpg,17
2026-02-19 10:38:55,temp_test.jpg,10
2026-02-19 10:38:56,temp_test.jpg,6
2026-02-20 09:15:24,temp_test.jpg,6
2026-02-20 09:15:27,temp_test.jpg,8
2026-02-20 09:15:28,temp_test.jpg,9
2026-02-20 09:15:29,temp_test.jpg,9
2026-02-20 09:15:30,temp_test.jpg,9
2026-02-20 09:15:31,temp_test.jpg,5
2026-02-20 09:15:32,temp_test.jpg,14
2026-02-20 09:15:33,temp_test.jpg,11
2026-02-20 09:15:34,temp_test.jpg,8
2026-02-20 09:15:35,temp_test.jpg,7
2026-02-20 09:15:36,temp_test.jpg,1
2026-02-20 09:15:37,temp_test.jpg,17
2026-02-20 09:15:38,temp_test.jpg,6
2026-02-20 09:15:39,temp_test.jpg,11
2026-02-20 09:15:40,temp_test.jpg,18
2026-02-20 09:15:41,temp_test.jpg,11
2026-02-20 09:15:42,temp_test.jpg,8
2026-02-20 09:15:43,temp_test.jpg,8
2026-02-20 09:15:44,temp_test.jpg,7
2026-02-20 09:15:45,temp_test.jpg,7
2026-02-20 09:15:46,temp_test.jpg,8
2026-02-20 09:15:47,temp_test.jpg,7
2026-02-20 09:15:48,temp_test.jpg,10
2026-02-20 09:15:49,temp_test.jpg,8
2026-02-20 09:15:50,temp_test.jpg,7
2026-02-20 09:15:51,temp_test.jpg,9
2026-02-20 09:19:30,temp_test.jpg,13
2026-02-20 09:19:31,temp_test.jpg,10
2026-02-20 09:19:32,temp_test.jpg,4
2026-02-20 09:19:33,temp_test.jpg,5
2026-02-20 09:19:34,temp_test.jpg,5
2026-02-20 09:19:35,temp_test.jpg,7
2026-02-20 09:19:36,temp_test.jpg,8
2026-02-20 09:19:37,temp_test.jpg,8
2026-02-20 09:19:38,temp_test.jpg,7
2026-02-20 09:19:39,temp_test.jpg,6
2026-02-20 09:19:40,temp_test.jpg,8
2026-02-20 09:19:41,temp_test.jpg,10
2026-02-20 09:19:42,temp_test.jpg,8
2026-02-20 09:19:43,temp_test.jpg,8
2026-02-20 09:21:43,temp_test.jpg,15
2026-02-20 09:21:51,temp_test.jpg,2
2026-02-20 09:23:27,temp_test.jpg,18
2026-02-20 09:25:36,temp_test.jpg,1
2026-02-20 09:26:41,temp_test.jpg,9
2026-02-20 09:26:42,temp_test.jpg,10
2026-02-20 09:26:43,temp_test.jpg,10
2026-02-20 09:26:44,temp_test.jpg,4
2026-02-20 09:26:45,temp_test.jpg,7
2026-02-20 09:26:46,temp_test.jpg,7
2026-02-20 09:26:47,temp_test.jpg,9
2026-02-20 09:26:48,temp_test.jpg,10
2026-02-20 09:26:49,temp_test.jpg,6
2026-02-20 09:26:50,temp_test.jpg,5
2026-02-20 09:26:51,temp_test.jpg,5
2026-02-20 09:26:52,temp_test.jpg,8
2026-02-20 09:27:56,temp_test.jpg,1
2026-02-20 09:30:57,temp_test.jpg,12
2026-02-20 09:31:29,temp_test.jpg,13
2026-02-20 09:31:30,temp_test.jpg,17
2026-02-20 09:31:31,temp_test.jpg,19
2026-02-20 09:31:32,temp_test.jpg,6
2026-02-20 09:31:33,temp_test.jpg,3
2026-02-20 10:18:59,temp_test.jpg,16
2026-02-20 10:19:00,temp_test.jpg,1
2026-02-20 10:19:01,temp_test.jpg,4
2026-02-20 10:19:02,temp_test.jpg,14
2026-02-20 10:19:03,temp_test.jpg,11
2026-02-20 10:19:04,temp_test.jpg,9
2026-02-20 10:19:05,temp_test.jpg,7
2026-02-20 10:19:06,temp_test.jpg,11
2026-02-20 10:19:07,temp_test.jpg,5
2026-02-20 10:19:08,temp_test.jpg,2
